WEEK OF ,9/20/2024,9/27/2024,10/4/2024,10/11/2024,10/18/2024,10/25/2024,11/1/2024,11/8/2024,11/15/2024,11/22/2024,11/29/2024,12/6/2024,12/13/2024,12/20/2024,12/27/2024,1/3/2025,1/10/2025,1/17/2025,1/24/2025,1/31/2025,2/7/2025,2/14/2025,2/21/2025,2/28/2025,3/7/2025,3/14/2025,3/21/2025,3/28/2025,4/4/2025,4/11/2025,4/18/2025,4/25/2025,5/2/2025,5/9/2025,5/16/2025,5/23/2025,5/30/2025,6/6/2025,6/13/2025,6/20/2025,6/27/2025,7/4/2025,7/11/2025,7/25/2025,8/8/2025,8/15/2025,8/22/2025,8/29/2025,9/5/2025,9/12/2025,,,
Discount - Invoice Modifications,,,,,,,,,,,,,,,,,,Row 17 of Supporting Doc - Approving SOW with Strabo 40 hours and will get a completion date.,Row 17 of Supporting Doc - Approving SOW with Strabo 40 hours and will get a completion date.,Row 17 Supporting Doc will get an update from Strabo this week 2.3-2.7,Project 7 on Supporting Doc.   Looking to complete by 3.1.25,Project 7 on Supporting Doc.  Approved SOP an am awaiting timeline from Strabo.,Project 7 on Supporting Doc.  Approved SOP an am awaiting timeline from Strabo no change will follow up with Strabo.,Project 7 on Supporting Doc. Waiting on resource to be assigned from Strabo,Project 7 on Supporting Doc. Waiting on resource to be assigned from Strabo,* Project 7 on Supporting Doc. Waiting on resource to be assigned from Strabo.  No change as we have some outstanding balances with them on our monthly bill which I am working with Callejas on.,Project 7 on Supporting Doc. Waiting on resource to be assigned from Strabo.,* Project 7 on Supporting Doc. Strabo asked some questions which will be answered to pusth us closer to completeion.,Project 7 on Supporting Doc. Continuing to work with Strabo on this.    Resource from Strabo hasn't been assigned yet.,Project 7 on Supporting Doc - Need to restructure this project based on feedback from accounting  in meeting on other projects.    New Functional Specification to be drafted 4.14-4.19,* Project 7 on Supporting Doc- Met with Accounting (Dave/Diana) Monday 4.14.25.    Waiting on Final revision of ALL changes that are needed to Invoice so it is one project with Strabo.    Would like to have those final changes by 4.23.25 Wednesday,Project 7 on Supporting Doc-  Waiting on Final revision of ALL changes that are needed to Invoice so it is one project with Strabo.    Would like to have those final changes by 4.30.25 Wednesday,Project 7 on Supporting Doc Request Invoice Template from Dave Callejas,Project 7 on Supporting Doc - Waiting on Invoice Copies,Project 7 on Supporting Doc - Waiting on Invoice Copies - Not quite ready in Accounting according to Diana,Project 7 on Supporting Doc - No change waiting on Accounting edits.,Project 7 on Supporting Doc - No change waiting on Accounting edits.,Project 7 on Supporting Doc - No change waiting on Accounting edits.,Project 7 on Supporting Doc - No change waiting on Accounting edits.,Project 7 on Supporting Doc - No change waiting on Accounting edits.,Project 7 on Supporting Doc - No change waiting on Accounting edits.,Project 7 on Supporting Doc - Met with Diana M on 7.3 and requested final mock up to send to Strabo ,Project 7 on Supporting Doc - As soon as mock up from ticket 2046 - Project 9 is done I will submit this with the changes so ALL invoice changes are done in one pass with the development team at Strabo.,Project 7 on Supporting Doc - Have not received final template from Accounting for modifications.,Project 7 on Supporting Doc - Have not received final template from Accounting for modifications.,Project 7 on Supporting Doc - Have not received final template from Accounting for modifications.,"Project 7 on Supporting Doc - Shifted on received - Mike from from working on for initial ""data hygiene"" portion Invoice F will obtaifor In update from him from Supporting on that progress.",Project 7 on Supporting Doc -  Have not received final template from Accounting for modifications.,Project 7 on Supporting Doc -  Have not received final template from Accounting for modifications.,Project 7 on Supporting Doc -  Have not received final template from Accounting for modifications.,,,
Invoice Modifications - Non Discount Related,,,,,,,,,,,Row 12 on Supporting Doc. Est Time of Completion 12.23.24,Row 13 on Supporting Doc. Est Time of Completion 12.23.24,Row 13 on Supporting Doc - Functional Spec Given to Strabo week of 12.16 to make required changes - Completion 12.27.24,Row 13 on Supporting Doc - Missing information on the Invoice Template Accounting Provided will follow up with Diana next week - expected completion by 1.14.25,Row 13 on Supporting Doc - Missing information on the Invoice Template Accounting Provided will follow up with Diana next week - expected completion by 1.14.25,Row 13 on Supporting Doc - Missing information on the Invoice Template Accounting Provided will follow up with Diana next week - expected completion by 1.14.25 - Reminder sent to accounting on 1.6.25,Row 15 on Supporting Doc.   Still Awaiting Accounting Response to the necessary changes.  Re-evaluate 1.20.25,Row 21 of Supporting Doc - Modifications received from accounting put together a Functional Spec for Strabo by 1.31.25,Row 21 of Supporting Doc - Modifications received from accounting put together a Functional Spec for Strabo by 1.31.25,Row 21 of Supporting Doc - SOW from Strabo by 2.7.25,Project 9 on Supporting Doc - SOW from Strabo by 2.21.25,Project 9 on Supporting Doc - SOW from Strabo by 2.21.25,Project 9 on Supporting Doc - SOW from Strabo by 2.28.25,Project 9 on Supporting Doc - SOW from Strabo by 2.28.25,Project 9 on Supporting Doc - SOW from Strabo by 2.28.25,Project 9 on Supporting Doc - SOW from Strabo by 2.28.25,Project 9 on Supporting Doc - SOW from Strabo by 2.28.25,Project 9 on Supporting Doc - SOW from Strabo by 2.28.25,Project 9 on Supporting Doc -  SOW received from Strabo discussed with Dave and now need to come back with a counter based on Dave's feedback.,Project 9 on Supporting Doc -  Need to restructure this project based on feedback from accounting  in meeting on other projects.    New Functional Specification to be drafted 4.14-4.19,* Project 9 on Supporting Doc -  Met with Accounting (Dave/Diana) Monday 4.14.25.    Waiting on Final revision of ALL changes that are needed to Invoice so it is one project with Strabo.    Would like to have those final changes by 4.23.25 Wednesday, Project 9 on Supporting Doc -Waiting on Final revision of ALL changes that are needed to Invoice so it is one project with Strabo.    Would like to have those final changes by 4.30.25 Wednesday ,Project 9 on Supporting Doc Request Invoice Template from Dave Callejas,Project 9 on Supporting Doc - Waiting on Invoice Copies,Project 9 on Supporting Doc - Waiting on Invoice Copies - Not quite ready in Accounting according to Diana,Project 9 on Supporting Doc - No change waiting on Accounting edits.,Project 9 on Supporting Doc - No change waiting on Accounting edits.,Project 9 on Supporting Doc - No change waiting on Accounting edits.,Project 9 on Supporting Doc - No change waiting on Accounting edits.,Project 9 on Supporting Doc - No change waiting on Accounting edits.,Project 9 on Supporting Doc - No change waiting on Accounting edits.,Project 9 on Supporting Doc - Push for Accounting Edits by early next week will resend emails.,Project 9 on Supporting Doc - Requested final mock up from Diana and Dave on 7.11.25 to submit to Strabo,Project 9 on Supporting Doc - Have not received final template from Accounting for modifications.,Project 9 on Supporting Doc - Have not received final template from Accounting for modifications.,Project 9 on Supporting Doc - Have not received final template from Accounting for modifications.,"Project 9 on Supporting Doc - Shifted on received - Mike from from working on for initial ""data hygiene"" portion Discount F will obtaifor Di update from him from Supporting on that progress.",Project 9 on Supporting Doc - Have not received final template from Accounting for modifications. ,Project 9 on Supporting Doc - Have not received final template from Accounting for modifications. ,Project 9 on Supporting Doc - Have not received final template from Accounting for modifications. ,,,
Inventory Allocations for Metoyer/Sales - Guarantee stock for MSO's,,,,,,,,,,,,,,,,,,Row 15 on Supporting Doc - Scoping and Implementing by 2.10.25,Row 15 on Supporting Doc - Scoping and Implementing by 2.10.25,Row 15 on Supporting Doc - High priority this week 2.3-2.7,Project 5 on Supporting Doc.   Pushed to March due to workload and priority.,Project 5 on Supporting Doc.   Reset meeting scheduled for Monday 2.24.25,Project 5 on Supporting Doc.   Met with Mike Metoyer and project back on track or started again.,Project 5 on Supporting Doc.   Have a deliverable from Diana C that I will try to collect this week 3.3-3.8.25,Project 5 on Supporting Doc.   Have a deliverable from Diana C that I will try to collect this week 3.10-3.14,* Project 5 on Supporting Doc.   Have a deliverable from Diana C that I will try to collect this week 3.17-3.21,Project 5 on Supporting Doc.   Have a deliverable from Diana C that I will try to collect this week 3.17-3.21,*  Project 5 on supporting doc.   Will address by 4.4,Project 5 on supporting doc.   Attempt some testing the week of 4.7-4.11,Project 5 on Supporting Doc - Testing to resume before the end of the month.,* Project 5 on Supporting Doc - Testing to resume before the end of the month.,Project 5 on Supporting Doc - No change -Have received information from Diana Carballo and will update team this week,Project 5 on Supporting Doc - Working on it week of 5.5.25-5.9.25,Project 5 on Supporting Doc - Will continue to work on it week of 5.19 has been bumped down on list of priorities.,Project 5 on Supporting Doc - Put on Hold.   Metoyer's prioritizing Hubspot - ERP and Big Commerce data integration which I will open project for.,Project 5 on Supporting Doc - On hold prioritizing Project 20,Project 5 on Supporting Doc - On hold prioritizing Project 20 before this. ,Project 5 on Supporting Doc - On hold prioritizing Project 20 before this. ,Project 5 on Supporting Doc - This may solve itself but is par with my O2C Ticket 2710 - Still on hold,Project 5 on Supporting Doc - This may solve itself but is par with my O2C Ticket 2710 - Still on hold,Project 5 on Supporting Doc - This may solve itself but is par with my O2C Ticket 2710 - Still on hold,Project 5 on Supporting Doc - This may solve itself but is par with my O2C Ticket 2710 - Met with Inana MSO on 7.3 and requested final mock up this may solve itself but is par with my O2C Ticket send this may solve itself but is par with my O2C Ticket Strabo,Hiding until taken off of Hold,,,,,,,,,,
New Printer/Copier Installation/Setup with Automated Business Technologies,,,,,,,,,,,,,,,,,,Row 19 of Supporting Doc - Installation on Tuesday 1.28.25,Row 19 of Supporting Doc - Installation on Tuesday 1.28.25,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop Computer for Warehouse Workers to move orders without taking over Mgmt computers,,,,,,,,,,,,,,,,,Row 12 on Supporting Doc - Desktop Secured just needs to be built - Completion 1.17.25,Row 20 of Supporting Doc - Complete by 1.31.25 No movement this week,Row 20 of Supporting Doc - Complete by 1.31.25 No movement this week,Row 20 of Supporting Doc - Will finish when higher priority projects are complete.,Project 8 on Supporting Doc - Will finish when higher priority projects are complete.,Project 8 on Supporting Doc - Checking with Phil Martin if this is still necessary through the ticket. 2517,Project 8 on Supporting Doc - Ticket 2517 Low Priority according to Phil,Project 8 on Supporting Doc - Ticket 2517 Low Priority according to Phil,Project 8 on Supporting Doc - Ticket 2517 Low Priority according to Phil,* Project 8 on Supporting Doc - Ticket 2517 Low Priority according to Phil,Project 8 on Supporting Doc - Complete by Wednesday 4.3.25,* Project 8 on supporting doc.   Completed on 3.28.25,* Project 8 on supporting doc.   Completed on 3.28.25,,,,,,,,,,,,,,,,,,,,,,,,
Power BI Gateway,,,,,,,,,Row 12 on Supporting Document - Complete by Wed 11/20/24,Row 12 on Supporting Doc - Meeting on 11/25/24 to finish up.,Row 14 on Supporting Doc. Est Time of Completion 12.11.24,Row 15 on Supporting Doc. Est Time of Completion 12.18.24,Row 14 on Supporting Doc - Installation to be completed Wednesday 12.18.24,Row 14 on Supporting Doc - Hardware Failure pushes Installation to be completed now 1.8.25,Row 14 on Supporting Doc - Hardware Failure pushes Installation to be completed now 1.8.25,Row 14 on Supporting Doc - Hardware Failure pushes Installation to be completed now 1.8.25,Row 16 on Supporting Doc.   New Gateway not created yet.   Need to complete by the end of the week 1.17.25,Row 22 of Supporting Doc - Complete by 1.31.25,Row 22 of Supporting Doc - Complete by 1.31.25,Row 22 - Meeting to complete with Meet Ghandi - 2.4.25,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Comm/B2B/D365 Payment Portal,Row 14 of Supporting Doc,Row 14 of Supporting Doc,Row 14 of Supporting Doc,Row 14 of Supporting Doc,Row 14 of Supporting Doc ,Waiting on Quotes on 2 Payment Vendors/Discovery Session - Row 13 of Supporting Doc - Est Comp 11.21.24,"Not supported with Stripe, BlueSnap Direct, and Adyen.   Looking at a cannabis adjacent model Birdy Solutions - Row 13 of Supporting Doc",Row 13 on Supporting DcoumentBirdy Solutions - Document Request/Discover Meeting this week.,Row 14 on Supporting Doc - All Documents given to Birdy/Application Complete - Meeting vendor initiated to follow.,Row 14 on Supporting Doc - All Documents given to Birdy/Application Complete - Meeting vendor initiated to follow.,Row 16 on Supporting Doc. Est Time of Completion 12.31.24,Row 17 on Supporting Doc. Put on hold due to a pending internal strategy meeting 12.18.24,Row 16 on Supporting Doc.  Meeting with Nathan Todd's implementation person New Years week.   Want project completed by 1.31.24,Row 16 on Supporting Doc.  Meeting with Nathan Todd's implementation person New Years week.   Want project completed by 1.31.24,Row 16 on Supporting Doc.  Meeting with Nathan Todd's implementation person New Years week.   Want project completed by 1.31.24,Row 16 on Supporting Doc.  Meeting with Nathan Todd's implementation person New Years week.   Want project completed by 1.31.24,Row 18 of Supporting Doc - Meetings to be set up this week to implement by 2.3.25,Row 25 of Supporting Doc - Answer by 1.31.25 from Brett,Row 26 of Supporting Doc - Answer by 1.31.25 from Brett,Row 26 of Supporting Doc - Answer by 1.31.25 from Brett,Project 11 on Supporting Doc - Gathering update for Nathan Todd from internal team,Project 11 on Supporting Doc - Updated Nathan Todd and team and put on hold during Accounting transition.,Project 11 on Supporting Doc - Updated Nathan Todd and team and put on hold during Accounting transition.,Project 11 on Supporting Doc - Updated Nathan Todd and team and put on hold during Accounting transition.,Project 11 on Supporting Doc - Updated Nathan Todd and team and put on hold during Accounting transition.,Project 11 on Supporting Doc - Updated Nathan Todd and team and put on hold during Accounting transition.,Project 11 on Supporting Doc - Updated Nathan Todd and team and put on hold during Accounting transition.,Project 11 on Supporting Doc - Updated Nathan Todd and team and put on hold during Accounting transition.,Project 11 on Supporting Doc - Updated Nathan Todd and team and put on hold during Accounting transition.,,,,,,,,,,,,,,,,,,,,,,,,
Big Comm/B2B/D365 Reverse Payment Workflow - Big Comm to Dynamics,,,,,,Row 14 of Supporting Doc Est Comp 11.7.24,Progressing still estimated completion by 11.7.24 Row 14 of Supporting Doc,Row 14 of Supporting Doc,Row 15 on Supporting Doc -Trepoly had Sandbox Big Comm down 4 days last week will be able to complete this week by Wednesday 11.24.24,Row 15 on Supporting Doc -  Testing now look to complete and implement by 12.6.24,Row 17 on Supporting Doc. Est Time of Completion 12.13.24,Row 18 on Supporting Doc. Put on Hold Pending a meeting with Accounting on 12.18.24,Row 17 on Supporting Doc - On Hold until we get more information from Accounting on 12.18.24,Row 17 on Supporting Doc.   Off of hold pushing for 1.15.25 completion,Row 17 on Supporting Doc.   Off of hold pushing for 1.15.25 completion,Row 17 on Supporting Doc.   Off of hold pushing for 1.15.25 completion,Row 20 of Supporting Doc - Put on Hold because Birdy Solutions may take care of this for us.   Row 18 in the ,Row 20 of Supporting Doc - Put on Hold because Birdy Solutions may take care of this for us.   Row 18 in the ,Row 20 of Supporting Doc - Put on Hold because Birdy Solutions may take care of this for us.   Row 18 in the ,Row 20 of Supporting Doc - Put on Hold because Birdy Solutions may take care of this for us.   Row 18 in the ,Row 20 of Supporting Doc - Put on Hold because Birdy Solutions may take care of this for us.   Row 18 in the ,Row 20 of Supporting Doc - Put on Hold because Birdy Solutions may take care of this for us.   Row 18 in the ,Row 20 of Supporting Doc - Put on Hold because Birdy Solutions may take care of this for us.   Row 18 in the ,Row 20 of Supporting Doc - Put on Hold because Birdy Solutions may take care of this for us.   Row 18 in the ,Row 20 of Supporting Doc - Put on Hold because Birdy Solutions may take care of this for us.   Row 18 in the ,Row 20 of Supporting Doc - Put on Hold because Birdy Solutions may take care of this for us.   Row 18 in the ,Row 20 of Supporting Doc - Put on Hold because Birdy Solutions may take care of this for us.   Row 18 in the ,Row 20 of Supporting Doc - Put on Hold because Birdy Solutions may take care of this for us.   Row 18 in the ,Row 20 of Supporting Doc - Put on Hold because Birdy Solutions may take care of this for us.   Row 18 in the ,,,,,,,,,,,,,,,,,,,,,,,,
SWAG Dynamics Entity and Training,,,,,,,,,,,,,,,,,Row 19 of Supporting Doc - Meeting to be setup with all parties by 1.17.25,Meeting happened not on current project list but will add next week,Row 25 of Supporting Doc - IT to have deliverables by 1.31.25 (Friday),Row 25 of Supporting Doc - IT to have deliverables by 2.7.25 (Friday),Project 10 on Supporting Doc - Completion by 3.1.25,Project 10 on Supporting Doc - Work Sessions with Chris Glaze the week of 2.17.25,Project 10 on Supporting DocChris Glaze will be testing in Sandbox (PO's) - Danny will be updating Production the week of 2.24.25-2.28.25,Project 10 on Supporting Doc -  After meeting with Dave Callejas last week he wasn't satisfied with the Accounting side of the testing an put this on hold.,Project 10 on Supporting Doc -  After meeting with Dave Callejas last week he wasn't satisfied with the Accounting side of the testing an put this on hold.,* Project 10 on Supporting Doc -  No change Dave Callejas has put on Hold until April 1st.,Project 10 on Supporting Doc -  No change Dave Callejas has put on Hold until April 1st.,*  Project 10 on supporting document will address with Davids Callejas on 4.3.25,Project 10 on supporting document. Dave Callejas will inform us when this project will begin again.,,,,,,,,,,,,,,,,,,,,,,,,
Avalara - Test Integration,,,,,,,,,,,,,,,,,Row 21 of Supporting Doc - Testing to be complete by end of week 1.17.25 as long as Strabo completes updates on 1.13 they are working on,Row 18 of Supporting Doc - Testing complete by 1.31.25,Row 18 of Supporting Doc - Testing complete by 1.31.25,Row 18 of Supporting Doc - Testing complete by 2.17.25,Project 12 on Supporting Doc - 2.17 Completion Goal,Project 12 on Supporting Doc - 2.19 Completion goal in resuming Avalara Meeting,Project 12 on Supporting Doc -Round 2 of Testing 2.24-2.28,Project 12 on Supporting Doc -Round 2 of Testing 2.24-2.28 Trial of MyIntegrator in test was expired.   Efforting getting it reinstated to resume testing.,Project 12 on Supporting Doc -Round 2 of Testing 2.24-2.28 Trial of MyIntegrator in test was expired.   Efforting getting it reinstated to resume testing.,Project 12 on Supporting Doc -Round 2 of Testing 2.24-2.28 Trial of MyIntegrator in test was expired.   Efforting getting it reinstated to resume testing.,Project 12 on Supporting Doc -Round 2 of Testing 2.24-2.28 Trial of MyIntegrator in test was expired.   Efforting getting it reinstated to resume testing.,Project 12 on Supporting Doc -Round 2 of Testing 2.24-2.28 Trial of MyIntegrator in test was expired.   Efforting getting it reinstated to resume testing.,Project 12 on Supporting Doc -Round 2 of Testing 2.24-2.28 Trial of MyIntegrator in test was expired.   Efforting getting it reinstated to resume testing.,Project 12 on Supporting Doc -Round 2 of Testing 2.24-2.28 Trial of MyIntegrator in test was expired.   Efforting getting it reinstated to resume testing.,Project 12 on Supporting Doc -Round 2 of Testing 2.24-2.28 Trial of MyIntegrator in test was expired.   Efforting getting it reinstated to resume testing.,Project 12 on Supporting Doc -Round 2 of Testing 2.24-2.28 Trial of MyIntegrator in test was expired.   Efforting getting it reinstated to resume testing.,Project 12 on Supporting Doc -Round 2 of Testing 2.24-2.28 Trial of MyIntegrator in test was expired.   Efforting getting it reinstated to resume testing.,Project 12 on Supporting Doc -Round 2 of Testing 2.24-2.28 Trial of MyIntegrator in test was expired.   Efforting getting it reinstated to resume testing.,Project 12 on Supporting Doc -Round 2 of Testing 2.24-2.28 Trial of MyIntegrator in test was expired.   Efforting getting it reinstated to resume testing.,Project 12 on Supporting Doc -Round 2 of Testing 2.24-2.28 Trial of MyIntegrator in test was expired.   Efforting getting it reinstated to resume testing.,Project 12 on Supporting Doc -Round 2 of Testing 2.24-2.28 Trial of MyIntegrator in test was expired.   Efforting getting it reinstated to resume testing.,Project 12 on Supporting Doc -Round 2 of Testing 2.24-2.28 Trial of MyIntegrator in test was expired.   Efforting getting it reinstated to resume testing.,Project 12 on Supporting Doc -Round 2 of Testing 2.24-2.28 Trial of MyIntegrator in test was expired.   Efforting getting it reinstated to resume testing.,,,,,,,,,,,,,,
SWAG Dynamics Entity Review - Setup now need to see what functionalty is set up in preparation for SWAG processing changes,,,,,,Row 15 of Supporting Doc -Est Comp 11.1.24,Row 17 of Supporting Doc - Trying to complete review/report by 11.8.24,Row 17 of Supporting Doc - Will update over the course of the week. ,Row 18 of Supporting Document,Row 17 of Supporting Document.   Estimated Completion - 12.16.24,Row 18 of Supporting Doc.  Est Time of Completion 12.16.24,Row 18 of Supporting Doc.  Est Time of Completion 12.16.24,Row 18 of Supporting Doc - Danny currently working with data received.  Completion 12.27.24,Row 18 on Supporting Doc- Tech side of things Phase 1 completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Comm/B2B/D365 Everything except Coupons and Payment Portal of the discrepancy project,Row 12 of Supporting Doc,Row 12 of Supporting Doc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Comm turn invoicing back on ,,,Row 12 of Supporting Doc,Row 12 of Supporting Doc - Completion 10.14.24,Row 12 of supporting doc - COMPLETE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aged Inventory Cleanup Work in Sandbox with Ben to try and reconcile Aged Inventory Neg Quantities,Row 15 of Supporting Doc,Row 15 of Supporting Doc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avalara API to connect to Excise Tax Engine to our ERPs (Sandbox),Row 16 of Supporting Doc,Row 16 of Supporting Doc,Row 15 of Supporting Doc,Row 15 of Supporting Doc Hard Completion set for 10.25.24,Row 15 of Supporting Doc -COMPLETE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Justuno Popup App - Assist in setting up API with Justuno Development Team/Will , Row 17 of Supporting Doc , Row 17 of Supporting Doc , Row 16 of Supporting Doc , Row 16 of Supporting Doc - Waiting for green light , Row 16 of Supporting Doc - ON HOLD PENDING Will Wrona go ahead , ON HOLD - Row 16 of Supporting Doc , ON HOLD - Row 16 of Supporting Doc , ON HOLD - Row 16 of Supporting Doc ,,,,,,,,, Row 23 of Supporting Doc - IT Support available over the next couple of weeks. , IT Involvement - Not Needed - Complete , IT Involvement - Not Needed - Complete , IT Involvement - Not Needed - Complete , IT Involvement - Not Needed - Complete , IT Involvement - Not Needed - Complete , IT Involvement - Not Needed - Complete , IT Involvement - Not Needed - Complete , IT Involvement - Not Needed - Complete , IT Involvement - Not Needed - Complete , IT Involvement - Not Needed - Complete , IT Involvement - Not Needed - Complete , IT Involvement - Not Needed - Complete , IT Involvement - Not Needed - Complete , IT Involvement - Not Needed - Complete , IT Involvement - Not Needed - Complete , IT Involvement - Not Needed - Complete , IT Involvement - Not Needed - Complete , IT Involvement - Not Needed - Complete , IT Involvement - Not Needed - Complete , IT Involvement - Not Needed - Complete , IT Involvement - Not Needed - Complete , IT Involvement - Not Needed - Complete ,,,,,,,,,,,,,,
Big Comm/B2B/D365 Coupons,Row 13 of Supporting Doc,Row 13 of Supporting Doc,Row 13 of Supporting Doc,Row 13 of Supporting Doc - Completion 10.18.24,Row 13 of Supporting Doc - Completion 10.23.24,Sandbox Product Refresh - Trepoly took all week pushed project a week - Row 12 of Supporting Doc - Est Comp 11.7.24,Functional in Test pushing to Production by 11.7.24 - Row 12 of Supporting Doc,Row 12 on Supporting Document - SOP and Training by Tueday 11.13.24,Row 13 on Supporting Doc Trepoly had Sandbox Big Comm down 4 days last week will be able to complete this week by Wednesday 11.21.24,Row 13 on Supporting Doc.    Completion by next Monday 12.2.24,Row 15 on Supporting Doc.  Est Time of Completion 12.5.24,Row 16 on Supporting Doc.  Completed ,Row 15 on Supporting Doc.   Reopened as Strabo has a fix to push next week to confirm right after Christmas Completion 12.27.24,Row 15 on Supporting Doc. Waiting until next week for Strabo to update the connector to accommodate our Dynamics update and coupons the way we inteneded.  Est Completion 1.8.25,Row 15 on Supporting Doc. Waiting until next week for Strabo to update the connector to accommodate our Dynamics update and coupons the way we inteneded.  Est Completion 1.8.25,Row 15 on Supporting Doc. Waiting until next week for Strabo to update the connector to accommodate our Dynamics update and coupons the way we iintended. Additional permissions given to Strabo on 1.6.25.  Est Completion 1.14.25,Row 17 on Supporting Doc.   Completion by 1.17.25  Strabo confirmed they are completing their part on 1.13.25,Completed,Completed,Completed,Completed,Completed,Completed,Completed,Completed,Completed,Completed,Completed,Completed,Completed,Completed,Completed,Completed,Completed,Completed,Completed,Completed,Completed,Completed,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 PowerBI  Licensing procured and allocated to Sales team  , Row 18 of Supporting Doc ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Split Payments/Invoicing Feasibility and Mapping ,,,,,,,,,,,, Row 12 of Supporting Doc.  Report on feasibility due 12.20.24 , Row 12 of Supporting Doc.   Still working on feasibility report for Phil.   Still on pace for 12.20.24 , Row 12 of Supporting Doc.  Will finish feasibility by 1.8.25 , Row 12 of Supporting Doc.  Will finish feasibility by 1.8.25 , Row 12 of Supporting Doc.  Will finish feasibility by 1.8.25 , Row 12 of Supporting Doc.  Will finish feasibility by 1.8.25 , Row 12 of Supporting Doc.  Will finish feasibility by 1.8.25 , Row 12 of Supporting Doc.  Will finish feasibility by 1.8.25 , Row 12 of Supporting Doc.  Will finish feasibility by 1.8.25 , Row 12 of Supporting Doc.  Will finish feasibility by 1.8.25 , Row 12 of Supporting Doc.  Will finish feasibility by 1.8.25 , Row 12 of Supporting Doc.  Will finish feasibility by 1.8.25 , Row 12 of Supporting Doc.  Will finish feasibility by 1.8.25 , Row 12 of Supporting Doc.  Will finish feasibility by 1.8.25 , Row 12 of Supporting Doc.  Will finish feasibility by 1.8.25 , Row 12 of Supporting Doc.  Will finish feasibility by 1.8.25 , Row 12 of Supporting Doc.  Will finish feasibility by 1.8.25 , Row 12 of Supporting Doc.  Will finish feasibility by 1.8.25 , Row 12 of Supporting Doc.  Will finish feasibility by 1.8.25 , Row 12 of Supporting Doc.  Will finish feasibility by 1.8.25 , Row 12 of Supporting Doc.  Will finish feasibility by 1.8.25 , Row 12 of Supporting Doc.  Will finish feasibility by 1.8.25 , Row 12 of Supporting Doc.  Will finish feasibility by 1.8.25 , Row 12 of Supporting Doc.  Will finish feasibility by 1.8.25 , Row 12 of Supporting Doc.  Will finish feasibility by 1.8.25 , Row 12 of Supporting Doc.  Will finish feasibility by 1.8.25 , Row 12 of Supporting Doc.  Will finish feasibility by 1.8.25 , Row 12 of Supporting Doc.  Will finish feasibility by 1.8.25 ,,,,,,,,,,,,,,
 Avalara - Configuration with MyIntegrator ,,,,,, Row 15 of Supporting Doc -Est Comp 11.1.24 , Row 15 of Supporting Doc - Est Comp 11.4.24 , Row 15 of Supporting Doc - Will  follow up this week , Row 16 of Supporting Document , Row 16 of Supporting Document.   Estimated Completeion 12.2.24 , Complete ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 New Sales Staff Technology (4 new hires) ,,,,,,,,,,, Row 13 on Supporting Doc. Est Time of Completion 12.6.24 , Row 14 on Supporting Doc. Completed ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Google Account Audit Deletion/Archive where necessary.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Project 14 on Supporting Doc.  Created Ticket.   Will have this complete in a week by 4.18.25,*Project 14 on Supporting Doc.  Completed.   Removed 9 accounts from our bill.,*Project 14 on Supporting Doc.  Completed.   Removed 9 accounts from our bill.,*Project 14 on Supporting Doc.  Completed.   Removed 9 accounts from our bill.,*Project 14 on Supporting Doc.  Completed.   Removed 9 accounts from our bill.,,,,,,,,,,,,,,,,,,,
