WEEK OF ,20-Sep,27-Sep,4-Oct,11-Oct,18-Oct,25-Oct,1-Nov,8-Nov,15-Nov,22-Nov,29-Nov,6-Dec,13-Dec,20-Dec,27-Dec,1.3.25,1.10.25,1.17.25,1.24.25,1.31.25,2.7.25,2.14.25,2.21.25,2.28.25,3.7.25,3.14.25,3.21.25,3.28.25,4.4.25,4.11.25,4.18.25,4.25.25,5.2.25,5.9.25,5.16.25,5.23.25,5.30.25,6.6.25,6.13.25,6.20.25,6.28.25,7.4.25,7.11.25,7.18.25,7.25.25,8.1.25,8.8.25,8.15.25,8.22.25,8.29.25,9.5.25,9.12.25
MSO - Trulieve," $122,884.90 "," $33,082.00 "," $34,378.70 ",," $7,164.00 "," $70,000.00 "," $53,319.40 "," $6,729.75 "," $95,210.90 ", $-   , $-   ," $19,449.60 "," $17,598.40 "," $56,634.80 "," $9,720.65 "," $5,910.65 "," $49,243.00 "," $1,559.00 "," $1,790.75 "," $141,445.45 ","$41,558.80"," $12,480.00 "," $7,812.00 "," $20,437.50 "," $26,230.84 "," $10,459.80 "," $7,139.00 "," $11,661.00 "," $5,500.12 "," $65,671.30 "," $20,458.00 "," $7,586.96 "," $46,533.25 "," $87,011.76 "," $22,222.00 "," $34,992.20 "," $2,835.00 "," $30,928.00 "," $58,833.81 "," $19,247.60 "," $48,595.02 "," $8,549.00 "," $7,599.30 "," $4,581.00 "," $9,815.60 "," $11,620.00 "," $20,848.35 ", $-   ," $64,698.85 ", $-   ," $3,800.00 "," $77,298.00 "
MSO - Jushi," $65,826.95 "," $23,720.07 "," $71,358.71 ",, $-   , $-   ," $103,971.56 ", $-   , $-   , $-   ," $67,324.10 "," $2,768.90 "," $7,965.20 "," $14,066.59 "," $34,099.62 "," $5,146.95 ", $-   , $-   , $-   ," $3,843.25 ",$0.00," $38,133.50 "," $51,333.45 ", $129.50 , $-   , $-   , $-   , $-   ," $46,662.11 ", $-   ," $3,383.00 ", $209.00 ," $1,075.00 ", $-   , $-   , $-   , $-   ," $6,767.83 "," $41,278.10 "," $1,252.45 ", $-   , $-   , $-   , $-   , $-   ," $68,813.15 "," $19,374.45 "," $2,146.00 ", $-   ," $1,721.00 ", $-   , $-   
MSO- GTI/Rise," $13,332.25 "," $33,183.50 "," $43,987.40 ",, $-   ," $13,886.85 "," $52,772.80 "," $45,473.00 "," $3,110.40 "," $21,727.70 "," $8,543.50 "," $36,899.45 "," $30,614.00 "," $6,135.35 "," $27,010.00 "," $31,845.45 "," $47,613.45 "," $25,969.00 "," $9,521.80 "," $28,336.18 ","$27,298.05"," $12,748.83 "," $95,831.26 "," $29,475.20 "," $55,427.36 "," $50,198.68 "," $65,495.10 "," $48,818.00 "," $51,445.39 "," $41,751.91 "," $5,107.50 "," $45,127.44 "," $66,823.91 "," $27,954.05 "," $32,192.69 "," $73,676.10 ", $419.95 , $627.25 ," $72,776.70 "," $25,590.98 "," $51,151.45 "," $40,927.25 "," $82,315.19 "," $148,232.64 "," $29,613.50 "," $626,609.40 "," $233,601.44 "," $4,672.45 "," $48,171.45 ", $360.00 ," $5,422.50 "," $48,263.21 "
MSO- Ascend, $-   ,," $5,658.35 ",," $35,165.22 "," $9,472.35 "," $34,680.85 "," $23,250.10 "," $22,252.77 "," $29,789.90 "," $9,730.00 "," $8,884.75 "," $49,653.49 "," $28,854.35 "," $24,551.05 "," $5,701.55 "," $3,176.10 "," $60,251.00 "," $22,923.40 "," $31,213.35 ","$48,667.59"," $31,810.40 "," $41,530.80 "," $30,404.47 "," $28,776.91 "," $27,677.38 "," $44,103.10 "," $67,047.00 "," $67,356.85 "," $12,342.41 "," $4,331.45 "," $17,275.96 "," $23,123.79 "," $52,895.64 "," $13,299.55 "," $20,781.80 "," $13,050.45 "," $14,258.95 "," $28,350.90 "," $20,107.70 "," $67,325.80 "," $12,822.55 "," $16,196.55 "," $33,880.60 "," $6,599.45 "," $14,358.90 "," $12,304.50 "," $11,458.50 "," $3,261.75 "," $10,975.75 "," $1,917.50 "," $13,930.30 "
Total MSO," $222,790.10 "," $113,166.57 "," $164,356.66 ", $-   ," $264,970.32 "," $129,895.58 "," $325,447.33 "," $113,493.30 "," $182,222.81 "," $95,946.22 "," $101,052.08 "," $85,348.22 "," $165,084.49 "," $224,230.31 "," $112,457.80 "," $71,344.60 "," $134,225.72 "," $107,196.45 "," $199,171.83 "," $229,550.14 "," $119,702.44 "," $141,740.77 "," $209,464.81 "," $156,586.88 "," $189,463.28 "," $100,600.64 "," $159,842.17 "," $250,096.00 "," $231,701.70 "," $167,798.34 "," $77,353.67 "," $91,120.14 "," $162,426.67 "," $204,620.39 "," $104,894.37 "," $138,467.15 "," $51,957.39 "," $82,055.58 "," $235,470.89 "," $145,636.34 "," $182,259.52 "," $75,078.70 "," $250,304.68 "," $248,563.16 "," $74,526.45 "," $721,401.45 "," $329,590.84 "," $32,669.61 "," $142,969.82 "," $22,458.10 "," $42,133.58 "," $237,395.67 "
MSO/Indy %,38%,21%,26%,,38%,26%,43%,22%,30%,20%,29%,20%,25%,37%,42%,16%,18%,24%,36%,39%,25%,27%,38%,25%,32%,20%,26%,28%,25%,24%,20%,21%,30%,34%,29%,31%,14%,17%,44%,31%,28%,19%,41%,39%,18%,63%,46%,8%,31%,5%,15%,35%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORGANIC BUSINESS DUE TO EMAIL," $8,064.00 "," $5,284.00 "," $5,527.13 ",," $4,654.00 "," $3,994.53 "," $5,476.00 "," $4,430.23 "," $2,734.00 "," $7,674.00 "," $3,387.55 "," $7,395.44 "," $2,510.65 "," $10,021.00 "," $1,684.00 "," $25,828.15 "," $26,826.00 "," $6,825.00 "," $3,068.00 "," $15,979.00 "," $7,688.00 "," $3,971.00 "," $16,650.00 "," $4,352.00 "," $31,115.00 "," $42,314.00 "," $13,695.00 "," $17,218.00 "," $11,874.00 "," $22,253.00 "," $3,376.00 "," $8,363.00 "," $4,473.00 "," $14,817.64 "," $9,801.70 "," $9,963.00 "," $7,079.15 "," $2,563.00 "," $23,170.35 "," $36,550.65 "," $40,253.43 "," $7,318.70 "," $16,184.22 "," $15,842.12 "," $41,934.78 "," $6,134.40 "," $1,436.00 "," $16,966.34 ","128,985.81"," $13,163.50 "," $48,743.75 "," $23,088.16 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL LEAFLINK," $77,283.66 "," $50,907.24 "," $84,694.58 ",," $89,280.98 "," $72,345.34 "," $56,188.20 "," $88,968.88 "," $86,971.59 "," $63,883.57 "," $16,998.70 "," $51,289.64 "," $49,970.12 "," $66,756.90 "," $33,642.33 "," $68,277.85 "," $67,726.30 "," $58,489.00 "," $28,680.60 "," $48,636.70 "," $51,259.03 "," $31,953.15 "," $36,272.15 "," $50,955.23 "," $36,559.35 "," $36,346.70 "," $34,483.85 "," $53,262.00 "," $77,119.90 "," $64,924.00 "," $33,849.35 "," $31,763.88 "," $34,598.80 "," $22,029.39 "," $31,993.40 "," $50,682.55 "," $28,644.40 "," $33,281.30 "," $50,692.90 "," $25,502.71 "," $31,872.45 "," $36,243.10 "," $28,292.40 "," $36,698.00 "," $22,869.00 "," $30,977.35 "," $36,274.44 "," $9,455.90 "," $20,885.95 "," $33,222.15 "," $17,990.80 "," $54,927.39 "
TOTAL LEAFTRADE, $497.50 , $-   , $714.50 ,," $2,418.00 ", $366.00 ," $5,435.20 "," $2,565.00 ", $863.95 ," $1,954.80 "," $2,829.65 "," $2,544.95 ", $538.00 ," $3,341.70 ", $630.00 ," $8,647.00 ", $404.95 ," $5,237.00 "," $2,834.95 "," $2,929.70 ", $-   ," $2,433.50 ", $-   ," $1,055.00 ", $958.25 ," $1,382.00 "," $1,887.00 "," $7,531.00 "," $1,991.60 "," $1,338.00 ",0," $5,447.50 ", $-   ," $1,140.20 "," $1,070.25 ", $732.50 , $-   ," $1,124.10 ", $-   ," $1,356.40 "," $2,370.10 ", $-   , $673.70 ," $2,449.10 ", $-   , $459.35 , $-   , $-   , $-   , $-   ," $1,470.50 ", $-   
TOTAL MAINSTEM, $329.95 , $-   , $-   ,, $-   ,0, $450.00 , $-   , $-   ,, $-   , $-   , $-   , $921.00 , $-   ," $6,426.00 "," $7,682.00 "," $2,274.00 "," $2,692.95 ", $-   , $-   , $819.45 , $597.00 ," $2,002.00 ", $-   , $-   ," $4,779.50 "," $1,862.00 "," $3,711.00 "," $8,128.00 "," $3,018.85 ", $337.00 ," $1,344.00 "," $1,524.00 ", $-   ," $6,918.25 ", $-   ," $1,353.20 "," $3,263.00 ", $-   ," $2,487.00 "," $3,003.00 "," $1,910.50 "," $2,202.15 "," $3,118.15 "," $1,693.00 "," $1,253.50 ", $689.50 ," $4,840.75 ", $-   , $831.00 ," $4,866.00 "
TOTAL ORDER.CO," $13,823.64 "," $23,079.74 "," $8,582.61 ",," $18,674.70 "," $8,164.00 "," $11,754.14 "," $13,367.03 "," $11,772.44 "," $14,538.39 "," $7,425.31 "," $10,620.16 "," $7,890.00 "," $14,064.00 "," $13,209.00 "," $9,946.00 "," $29,194.00 "," $13,678.00 "," $22,365.00 "," $7,915.00 "," $11,259.95 "," $13,161.35 "," $4,083.00 "," $18,994.00 "," $28,004.00 "," $14,993.00 "," $24,246.00 "," $11,607.00 "," $8,126.80 "," $19,147.35 "," $11,584.10 "," $3,081.00 "," $11,568.05 "," $8,319.35 "," $12,579.30 "," $9,914.15 "," $5,179.55 "," $15,660.35 "," $11,303.90 "," $8,022.45 "," $7,829.05 "," $2,696.90 "," $8,545.06 "," $24,978.85 "," $10,693.20 "," $7,787.00 "," $9,235.25 "," $11,313.00 "," $8,661.15 "," $7,462.10 ",5098.3," $14,259.10 "
APEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," $1,425.00 "," $1,509.45 "," $3,857.50 "," $2,126.00 "," $1,466.00 "," $4,580.00 ", $620.95 , $538.10 ," $1,952.35 ", $844.95 ," $1,145.45 "," $1,907.90 ", $-   
TOTAL Platform Sales," $91,934.75 "," $73,986.98 "," $93,991.69 ", $-   ," $110,373.68 "," $80,875.34 "," $73,827.54 "," $104,900.91 "," $99,607.98 "," $80,376.76 "," $27,253.66 "," $64,454.75 "," $58,398.12 "," $85,083.60 "," $47,481.33 "," $93,296.85 "," $105,007.25 "," $79,678.00 "," $56,573.50 "," $59,481.40 "," $62,518.98 "," $48,367.45 "," $40,952.15 "," $73,006.23 "," $65,521.60 "," $52,721.70 "," $65,396.35 "," $74,262.00 "," $90,949.30 "," $93,537.35 "," $48,452.30 "," $40,629.38 "," $47,510.85 "," $33,012.94 "," $45,642.95 "," $68,247.45 "," $33,823.95 "," $51,418.95 "," $65,259.80 "," $34,881.56 "," $44,558.60 "," $41,943.00 "," $39,421.66 "," $66,328.10 "," $36,680.35 "," $40,916.70 "," $46,763.19 "," $21,458.40 "," $34,387.85 "," $40,684.25 "," $25,390.60 "," $74,052.49 "
TRADESHOW BUDGET," $274,705.89 "," $274,705.89 "," $274,705.89 "," $274,705.89 "," $274,705.89 "," $274,705.89 "," $275,688.49 "," $275,688.49 "," $275,688.49 "," $263,135.94 "," $263,135.94 "," $263,135.94 "," $263,135.94 "," $268,830.51 "," $268,830.51 "," $268,830.51 "," $271,830.51 "," $271,830.51 "," $271,830.51 ", see below ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VENDOR PARTICIPATION," $203,050.00 "," $203,050.00 "," $203,050.00 "," $203,050.00 "," $203,050.00 "," $203,050.00 "," $181,500.00 "," $181,500.00 "," $181,500.00 "," $196,050.00 "," $196,050.00 "," $196,050.00 "," $196,050.00 "," $196,050.00 "," $196,050.00 "," $196,050.00 "," $213,500.00 "," $213,500.00 "," $213,500.00 ", see below ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL COST OF TRADESHOW MARKETING," $71,655.89 "," $71,655.89 "," $71,655.89 "," $71,655.89 "," $71,655.89 "," $71,655.89 "," $94,188.48 "," $94,188.48 "," $94,188.48 "," $67,085.94 "," $67,085.94 "," $67,085.94 "," $67,085.94 "," $72,780.51 "," $72,780.51 "," $72,780.51 "," $58,330.51 "," $58,330.51 "," $58,330.51 ", see below ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"* Costs charged monthly- Hubspot, subscriptions, etc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* Vendor funds measured monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LINKS FOR SUPPORTING DOCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HubSpot Analytics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://app.hubspot.com/email/5437561/manage/state/all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BC Analytics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://store-ijm7dw7yvr.mybigcommerce.com/manage/analytics/overview,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rebate program reporting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://docs.google.com/spreadsheets/d/17GrsFRf-TDcHvbDL7d0Im-vVg9oEM-8AvofcF0SIDIE/edit?gid=0#gid=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT Projects For Marketing ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://docs.google.com/spreadsheets/d/1lJmicY1d2Ns_saijHaMkd2YQ8cz5hTzfvIsKabJmrgA/edit?gid=882759045#gid=882759045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Website w/ACH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Promotional Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://docs.google.com/spreadsheets/d/1lJmicY1d2Ns_saijHaMkd2YQ8cz5hTzfvIsKabJmrgA/edit?gid=1563210256#gid=1563210256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trade Show Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://docs.google.com/spreadsheets/d/1lJmicY1d2Ns_saijHaMkd2YQ8cz5hTzfvIsKabJmrgA/edit?gid=1326099777#gid=1326099777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yearly Trade Show Budget,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://luvbuds-my.sharepoint.com/:x:/g/personal/cglaze_luvbuds_onmicrosoft_com/EU0H8ES5q4RFo0mssCVMBtgBNYSsdnWttX5ffv_DeOHyKA?e=qczgwx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Regional Trade Show Vendor Deck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://drive.google.com/file/d/1JGMj-8RO1lXraNuxof2irqZIlFTqTqjq/view?usp=drive_link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKU Reduction Program - Discounts / Discontinued ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://docs.google.com/spreadsheets/d/1XUPJykkfxrXbd9wC8SGDAG84c2viss0a/edit?gid=529415624#gid=529415624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://docs.google.com/spreadsheets/d/1vNhOfEQUjKCzOcIhIi5uyNIpZWPYDRUf/edit?gid=1949884894#gid=1949884894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vendor Marketing Income 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vendor Marketing Fund Payments for 2024.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vendor Marketing Income 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025 Vendor Marketing Fund Rebate Overview.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Org Chart and Daily Responsibilities Of Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://docs.google.com/spreadsheets/d/1lJmicY1d2Ns_saijHaMkd2YQ8cz5hTzfvIsKabJmrgA/edit?gid=1415500616#gid=1415500616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025 Coupon Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://docs.google.com/spreadsheets/d/17GrsFRf-TDcHvbDL7d0Im-vVg9oEM-8AvofcF0SIDIE/edit?gid=1567512777#gid=1567512777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Issues to BE resolved by Marketing team  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Customer Service reporting  (To be established with new hire?) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
